Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2901","Grand Total","2010","2010","t","13518954.44","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2901","Grand Total","2011","2011","t","13402260.77","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2901","Grand Total","2012","2012","t","13597892.63","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2901","Grand Total","2013","2013","t","13702891.04","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2901","Grand Total","2014","2014","t","13765928.01","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2901","Grand Total","2015","2015","t","13995733.29","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2901","Grand Total","2016","2016","t","14246718.83","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2901","Grand Total","2017","2017","t","14455117.43","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2901","Grand Total","2018","2018","t","14756139.04","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2901","Grand Total","2019","2019","t","15052064.91","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2901","Grand Total","2020","2020","t","15406447.58","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2901","Grand Total","2021","2021","t","15293346.07","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2901","Grand Total","2010","2010","t","18329975.36","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2901","Grand Total","2011","2011","t","18649781.25","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2901","Grand Total","2012","2012","t","18882958.47","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2901","Grand Total","2013","2013","t","18930542.66","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2901","Grand Total","2014","2014","t","19061311.28","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2901","Grand Total","2015","2015","t","19336799.97","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2901","Grand Total","2016","2016","t","19646628.81","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2901","Grand Total","2017","2017","t","19940474.85","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2901","Grand Total","2018","2018","t","20718541.53","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2901","Grand Total","2019","2019","t","21360059.02","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2901","Grand Total","2020","2020","t","21612620.2","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2901","Grand Total","2021","2021","t","21932140.15","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2903","Vegetal Products","2010","2010","kcal/cap/d","2704","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2903","Vegetal Products","2011","2011","kcal/cap/d","2720","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2903","Vegetal Products","2012","2012","kcal/cap/d","2752","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2903","Vegetal Products","2013","2013","kcal/cap/d","2746","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2903","Vegetal Products","2014","2014","kcal/cap/d","2734","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2903","Vegetal Products","2015","2015","kcal/cap/d","2731","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2903","Vegetal Products","2016","2016","kcal/cap/d","2743","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2903","Vegetal Products","2017","2017","kcal/cap/d","2752","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2903","Vegetal Products","2018","2018","kcal/cap/d","2743","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2903","Vegetal Products","2019","2019","kcal/cap/d","2782","E","Estimated value"
